id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
2315068,ORANGE,SUP,LTE 700,2 CITE SAINT-PIERRE ROUTE DE SAINT OUEN (LA BASSURE) 80610 ST OUEN,80711,"50.0447,2.1308",Pylône autostable,33m,TOTEM,2020-10-27,False,False
2324730,ORANGE,AJO,5G NR 2100,345 CAPELOU CHÂTEAU D'EAU 24170 PAYS DE BELVES,24035,"44.7781,0.9911",Château d'eau - réservoir,"23,6m","Syndicat des eaux, Adduction",,False,False
2352813,ORANGE,ALL,5G NR 2100,15 RUE DE LA MONTAPEINE STADE DE FOOTBALL (MONTAPEINE) 18320 JOUET SUR L AUBOIS,18118,"47.0392,2.9753",Pylône tubulaire,35m,TOTEM,2025-08-11,False,False
2363569,ORANGE,ALL,5G NR 3500,GATE FER (LE CIVILIER) 79100 THOUARS,79329,"46.9508,-0.2561",Pylône autostable,30m,ATC FRANCE,2025-08-11,False,False
2382908,ORANGE,ALL,"5G NR 700, 5G NR 3500",CHEMIN DE LA FORET (LE PLACE DE LA FORET) 40180 OEYRELUY,40207,"43.6725,-1.0719",Pylône autostable,42m,TDF,2025-08-06,False,False
2433400,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500", (OBERFELD) 68127 BILTZHEIM,68037,"47.9592,7.3797",Pylône autostable,24m,TOTEM,,False,False
2433400,ORANGE,SUP,LTE 700, (OBERFELD) 68127 BILTZHEIM,68037,"47.9592,7.3797",Pylône autostable,24m,TOTEM,2022-02-22,False,False
2437882,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",RUE D AMBRIERES (LE BANC DES VIGNES EST) 52100 LANEUVILLE AU PONT,52267,"48.6322,4.8547",Pylône autostable,33m,TOTEM,,False,False
2437882,ORANGE,SUP,LTE 700,RUE D AMBRIERES (LE BANC DES VIGNES EST) 52100 LANEUVILLE AU PONT,52267,"48.6322,4.8547",Pylône autostable,33m,TOTEM,2021-07-20,False,False
2454194,ORANGE,AJO,5G NR 2100,RUE DU BOIS DORE CHEMIN RURAL DIT MITTELWEG (MITTLERES ZELG) 68440 DIETWILLER,68072,"47.6992,7.4361",Pylône autostable,38m,TDF,,False,False
2471238,ORANGE,ALL,"LTE 700, LTE 800",RTE DE MONTLIEU LE CHEMIN VERT (GUIBERTEAU) 17130 CHAUNAC,17096,"45.3536,-0.3569",Pylône autostable,"35,7m",HIVORY,2025-08-18,False,True
2478091,ORANGE,AJO,5G NR 2100,LOU CASTAGNO 48100 BOURGS SUR COLAGNE,48099,"44.5347,3.2506",Pylône autostable,40m,ON TOWER FRANCE,,False,False
2490908,ORANGE,AJO,5G NR 700,PLACE DE L'EGLISE 44410 ST LYPHARD,44175,"47.3981,-2.3053",Monument religieux,43m,"Commune, communauté de communes",,False,False
2490908,ORANGE,SUP,LTE 700,PLACE DE L'EGLISE 44410 ST LYPHARD,44175,"47.3981,-2.3053",Monument religieux,43m,"Commune, communauté de communes",,False,False
259401,ORANGE,ALL,"LTE 1800, 5G NR 2100",GRANDE RUE PYLÔNE FT 86510 CHAUNAY,86068,"46.2061,0.1619",Pylône autostable,34m,TOTEM,2025-07-30,False,False
2597450,ORANGE,ALL,5G NR 2100,D178 (AU MOULIN À VENT) 32380 L ISLE BOUZON,32158,"43.9283,0.7361",Château d'eau - réservoir,29m,"Syndicat des eaux, Adduction",2025-08-05,False,False
2646162,ORANGE,AJO,5G NR 2100,LA MAISON ROUGE D683 (AU VAL D AUCOVRE) 25110 HYEVRE PAROISSE,25313,"47.3586,6.4083",Pylône autostable,38m,TDF,,False,False
2647598,ORANGE,AJO,5G NR 2100,CHEMIN DU CHÂTEAU D'EAU (LE ROCHER) 34360 ST CHINIAN,34245,"43.4175,2.9497",Mât,7m,TOTEM,,False,False
2650962,ORANGE,ALL,5G NR 2100,RUE DE CANTO AOUSSEL 11610 VENTENAC CABARDES,11404,"43.2625,2.2861",Pylône autostable,30m,TOTEM,2025-07-09,False,False
2672661,ORANGE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",CHEMIN DE PUISSALICON (LA CANAL) 34480 PUISSALICON,34224,"43.4561,3.2481",Pylône autostable,"35,7m",ORANGE,2025-07-24,False,False
2685017,ORANGE,AJO,"LTE 1800, 5G NR 2100",RUE DU CANAL D623 ANCIENNE CARRIÈRE (AUBERG) 67260 HARSKIRCHEN,67183,"48.9372,7.0342",Pylône autostable,30m,ATC FRANCE,,True,False
2715759,ORANGE,ALL,"UMTS 900, LTE 700, LTE 800",BOIS REPPORT CHAUVEROTTE (LE RESERVOIR) 25570 GRAND COMBE CHATELEU,25285,"47.03,6.5661",Pylône autostable,"42,2m",SFR,2022-07-12,True,True
2742533,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",3 RUE D'ALGER SÉCHOIR 67200 STRASBOURG,67482,"48.5833,7.7864",Silo,35m,"Copropriété, Syndic, SCI",2020-03-10,False,False
2742537,ORANGE,ALL,"LTE 700, LTE 800",1 R AUMONT THIEVILLE BD GOUVION ST CYR 75017 PARIS 17,75117,"48.8839,2.2892",Immeuble,35m,"Copropriété, Syndic, SCI",2025-08-20,False,False
2778977,ORANGE,ALL,"UMTS 900, LTE 700, LTE 800",MONTÉE DU BOIS D'ONAY (ONAY ET BERTHALINIERES OUE) 26350 ST LAURENT D ONAY,26310,"45.1811,5.1086",Pylône autostable,30m,TDF,2023-07-12,True,True
2801477,ORANGE,ALL,"5G NR 700, 5G NR 3500",1 CHEMIN BEAUCHAMPS (FIEF DE L'EBEAUPIN) 17440 AYTRE,17028,"46.1386,-1.1",Pylône autostable,30m,TDF,2025-08-11,False,False
2821681,ORANGE,ALL,"UMTS 900, LTE 700, LTE 800",RTE DE SALES 81240 LACABAREDE,81121,"43.465,2.5828",Pylône autostable,"42,5m",CELLNEX,2025-07-31,True,True
2840332,ORANGE,ALL,LTE 800,ROUTE DE MILLAS D612 66300 THUIR,66210,"42.6425,2.7442",Pylône autostable,"40,4m",TOTEM,2025-08-18,False,False
2847893,ORANGE,ALL,"LTE 700, LTE 800",RUE DU MOULIN ST. ÉPURATION (OBERWEID OHNENHEIM) 67390 OHNENHEIM,67360,"48.1867,7.4944",Pylône autostable,36m,ON TOWER FRANCE,2025-08-19,False,True
2868011,ORANGE,ALL,"LTE 700, LTE 800",21 RUE ARNOULT CRAPOTTE 78700 CONFLANS STE HONORINE,78172,"48.9931,2.0922",Immeuble,"18,7m","Copropriété, Syndic, SCI",2025-08-20,False,True
2873429,ORANGE,ALL,"UMTS 900, LTE 700, LTE 800", (EN PEYROULET) 32300 LAMAZERE,32187,"43.5539,0.4367",Pylône autostable,30m,FREE-MOBILE,2024-10-22,True,True
2873538,ORANGE,ALL,"UMTS 900, LTE 700, LTE 800",ROUTE DE CAILHOL D175 (LA CESSIERE) 34210 AIGUES VIVES,34007,"43.3625,2.8258",Pylône tubulaire,24m,SFR,2023-08-17,True,True
2890778,ORANGE,AAV,LTE 800,CHEMIN HAUT DE SAINT-SIXTE (MAS DE TILLOY) 30300 BEAUCAIRE,30032,"43.8094,4.6075",Pylône autostable,"25,8m",TOTEM,2025-08-25,False,True
2915588,ORANGE,ALL,"LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",AVENUE DU CHÂTEAU D'EAU (BARRIÈRE) 40480 VIEUX BOUCAU LES BAINS,40328,"43.7817,-1.3908",Pylône autostable,40m,ATC FRANCE,2025-07-18,False,False
2917057,ORANGE,ALL,UMTS 900,PROCHE DE LA D26E (LA CROZETTA) 73390 MONTENDRY,73166,"45.5236,6.2442",Pylône autostable,"38,9m",FREE-MOBILE,2025-08-21,True,True
2943806,ORANGE,AAV,"LTE 700, LTE 800",RUE DE LA BERLANDE (LA BERLANDE) 71240 NANTON,71328,"46.6164,4.8211",Pylône autostable,"35,7m",ATC FRANCE,2025-08-28,False,True
